"poi_type","poi_category_1"
"*","Other"
"3d_printing","Professional and Business Services"
"93 S 7.2","Other"
"AAA Southern New England","Financial Services"
"Addiction Treatment","Healthcare and Medical"
"Appliance Shops","Shopping and Retail"
"Armory","Other"
"Artificial Grass","Other"
"Attorneys","Professional and Business Services"
"Auto Insurance","Financial Services"
"B2B","Other"
"Banquet_Hall","Events and Venues"
"Best Preschool","Education and Learning"
"Best Tattoo Vegas","Personal Care and Beauty"
"Body Sculpting","Professional and Business Services"
"Botanical Garden","Entertainment and Recreation"
"Botox","Personal Care and Beauty"
"Casino_Player_Training","Entertainment and Recreation"
"Centre Chr?tien","Other"
"Chiropractor","Healthcare and Medical"
"City_Tours/Rental","Tourism and Attractions"
"Commercial Printer","Professional and Business Services"
"Concrete Paving","Professional and Business Services"
"Counsellors","Healthcare and Medical"
"Countertops","Other"
"Couples Counseling","Healthcare and Medical"
"Coupons","Other"
"Custom T Shirts","Shopping and Retail"
"Custom_Framing","Professional and Business Services"
"Custom_signs_&_neon","Professional and Business Services"
"DJ","Professional and Business Services"
"DJ Services","Professional and Business Services"
"Drug & Alcohol Rehabs New Jersey","Healthcare and Medical"
"E-waste Disposal","Waste and Recycling"
"Equipment Rental Agency","Professional and Business Services"
"Fix And Flip Loan","Financial Services"
"Function Hall","Events and Venues"
"Graphic_Design","Professional and Business Services"
"Grocery","Shopping and Retail"
"HVAC","Industrial and Manufacturing"
"HVAC_supply","Industrial and Manufacturing"
"Hydroponics Equipment Supplier","Industrial and Manufacturing"
"Indian music and dvd","Shopping and Retail"
"Industrial Sewing Machine Repair Shop","Professional and Business Services"
"Interpreter","Professional and Business Services"
"LAB","Professional and Business Services"
"Life Labs","Professional and Business Services"
"Loan,_tax_service","Financial Services"
"Meeting point","Other"
"Mortage Broker","Financial Services"
"Nail Salon","Personal Care and Beauty"
"Neurosurgeon","Healthcare and Medical"
"Off the Leash Dog Training","Professional and Business Services"
"Optom","Healthcare and Medical"
"Packaging_supply","Industrial and Manufacturing"
"Paint Supplies","Industrial and Manufacturing"
"Permanent Makeup Training","Education and Learning"
"Pet grooming shop","Professional and Business Services"
"Plating Service","Industrial and Manufacturing"
"Plumbing","Professional and Business Services"
"Plumbing Serivce","Professional and Business Services"
"Popcorn_Store","Shopping and Retail"
"Portable Toilet Supplier","Shopping and Retail"
"Recycle glass vases","Waste and Recycling"
"Roofing contractor","Professional and Business Services"
"Salon","Personal Care and Beauty"
"Screen Printer","Professional and Business Services"
"Sewage Deodorization","Professional and Business Services"
"Smoking_Shop","Shopping and Retail"
"Spa","Personal Care and Beauty"
"Storage Buildings","Professional and Business Services"
"T-Card Office","Education and Learning"
"Tour","Tourism and Attractions"
"Water Damage","Other"
"Whale_watching_excursion","Tourism and Attractions"
"abandoned","Other"
"accessories","Other"
"accountants","Professional and Business Services"
"acting_school","Education and Learning"
"acupuncture","Healthcare and Medical"
"adult_gaming_centre","Entertainment and Recreation"
"advertising","Professional and Business Services"
"african_goods","Shopping and Retail"
"agrarian","Professional and Business Services"
"air_filtration","Professional and Business Services"
"air_pump","Other"
"airline","Transportation and Transit"
"alarm_system","Professional and Business Services"
"alcohol","Shopping and Retail"
"alpine_hut","Entertainment and Recreation"
"alteration","Professional and Business Services"
"alterations","Healthcare and Medical"
"alternative_medicine","Healthcare and Medical"
"amphitheatre","Entertainment and Recreation"
"amusement_arcade","Entertainment and Recreation"
"amusements","Entertainment and Recreation"
"animal","Other"
"animal_boarding","Professional and Business Services"
"animal_breeding","Professional and Business Services"
"animal_food","Shopping and Retail"
"animal_hitch","Professional and Business Services"
"animal_service","Professional and Business Services"
"animal_shelter","Professional and Business Services"
"animal_training","Professional and Business Services"
"animals","Other"
"anime","Other"
"anti_aging","Personal Care and Beauty"
"antiques","Shopping and Retail"
"apartment","Accommodation"
"apartments","Accommodation"
"apartments_leasing","Accommodation"
"apparel and gifts","Shopping and Retail"
"appliance","Shopping and Retail"
"appliance_repair","Professional and Business Services"
"appraiser","Professional and Business Services"
"aquarium","Entertainment and Recreation"
"aquarium1","Entertainment and Recreation"
"aquarium_supplies","Shopping and Retail"
"arcade","Entertainment and Recreation"
"arcade_games","Entertainment and Recreation"
"architect","Professional and Business Services"
"archive","Other"
"archives","Other"
"arena","Events and Venues"
"aromatherapy","Healthcare and Medical"
"art","Other"
"art_centre","Tourism and Attractions"
"art_class","Education and Learning"
"art_gallery","Tourism and Attractions"
"art_materials","Shopping and Retail"
"art_school","Education and Learning"
"art_studio","Education and Learning"
"art_suplies","Shopping and Retail"
"art_supplies","Shopping and Retail"
"art_supply","Shopping and Retail"
"artbuzz_sign","Other"
"artillerie","Other"
"artist","Professional and Business Services"
"arts_centre","Tourism and Attractions"
"artwork","Shopping and Retail"
"ashtray","Other"
"athletic","Entertainment and Recreation"
"atm","Financial Services"
"attorney","Professional and Business Services"
"attraction","Tourism and Attractions"
"atv","Other"
"auction","Professional and Business Services"
"auction_house","Professional and Business Services"
"audiologist","Healthcare and Medical"
"auditorium","Events and Venues"
"auto_accessories","Automative Services"
"awards","Other"
"axe","Other"
"axe throwing","Entertainment and Recreation"
"axe_throwing","Entertainment and Recreation"
"baby_goods","Shopping and Retail"
"backyard","Other"
"bag","Other"
"bag_wrap","Other"
"bait_shop","Shopping and Retail"
"bakery","Restaurants, Fast Food and Cafes"
