road_type,category
motorway,motorway
trunk,trunk
motorway_link,motorway
trunk_link,trunk
primary,primary_road
primary_link,primary_road
secondary,secondary_road
secondary_link,secondary_road
tertiary,tertiary_road
tertiary_link,tertiary_road
unclassified,minor_road
unclassified_link,minor_road
residential,residential_road
residential_link,residential_road
living_street,residential_road
service,service_road
services,service_road
footway,pedestrian
pedestrian,pedestrian
steps,pedestrian
corridor,pedestrian
cycleway,cycleway
bridleway,cycleway
path,pedestrian
track,minor_road
busway,busway
bus_guideway,busway
platform,busway
construction,road_construction
rest_area,rest_area
traffic_island,pedestrian
crossing,pedestrian
bus_stop,busway
